cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,cycle_norm,RUL
26,42.0072,0.8412,100.0,445.0,549.43,1353.19,1123.92,3.91,5.72,138.71,2211.8,8315.83,1.02,42.1,130.55,2387.93,8084.32,9.3743,0.02,333,2212,100.0,10.75,6.3487,0.1911764705882352,110
27,19.999,0.7003,100.0,491.19,607.4,1483.47,1257.45,9.35,13.66,335.18,2323.95,8717.94,1.08,44.48,315.31,2388.09,8059.45,9.2374,0.02,366,2324,100.0,24.3,14.7693,0.1985294117647058,109
28,24.999,0.62,60.0,462.54,537.39,1262.81,1047.51,7.05,9.03,175.64,1915.25,8008.78,0.94,36.77,164.96,2028.11,7871.91,10.9287,0.02,309,1915,84.93,14.26,8.5379,0.2058823529411764,108
29,25.0028,0.62,60.0,462.54,536.46,1257.38,1047.93,7.05,9.03,175.84,1915.25,8006.73,0.94,36.76,164.13,2028.18,7872.81,10.9138,0.02,309,1915,84.93,14.37,8.4853,0.213235294117647,107
30,42.0018,0.84,100.0,445.0,549.25,1349.99,1125.1,3.91,5.72,139.13,2211.78,8319.46,1.02,42.21,130.87,2387.83,8084.03,9.3925,0.02,330,2212,100.0,10.73,6.4096,0.2205882352941176,106
31,35.0062,0.84,100.0,449.44,556.07,1370.69,1126.67,5.48,8.0,194.95,2222.85,8345.03,1.02,42.01,182.65,2387.96,8063.24,9.3095,0.02,333,2223,100.0,14.89,8.8254,0.2279411764705882,105
32,10.0042,0.2505,100.0,489.05,605.26,1504.25,1310.94,10.52,15.49,394.42,2318.95,8781.67,1.26,45.3,371.4,2388.15,8118.27,8.6301,0.03,368,2319,100.0,28.5,17.1152,0.2352941176470588,104
33,10.0072,0.2514,100.0,489.05,604.65,1507.19,1308.98,10.52,15.49,394.64,2318.99,8775.68,1.26,45.43,371.72,2388.17,8125.59,8.6253,0.03,370,2319,100.0,28.69,17.0807,0.2426470588235294,103
34,42.0033,0.84,100.0,445.0,549.43,1349.85,1124.07,3.91,5.72,138.72,2211.82,8323.58,1.02,42.12,130.25,2387.9,8081.82,9.3452,0.02,329,2212,100.0,10.62,6.4038,0.25,102
35,35.0049,0.84,100.0,449.44,555.93,1370.46,1131.32,5.48,8.0,195.04,2222.85,8346.89,1.02,41.89,183.38,2387.93,8060.09,9.3167,0.02,333,2223,100.0,14.93,8.8568,0.2573529411764705,101
36,35.0064,0.84,100.0,449.44,555.49,1368.12,1133.71,5.48,8.0,194.58,2222.89,8339.24,1.02,41.82,183.18,2387.99,8062.84,9.3118,0.02,335,2223,100.0,14.71,8.8696,0.2647058823529412,100
37,42.0039,0.84,100.0,445.0,549.62,1350.58,1123.17,3.91,5.71,138.4,2211.77,8312.95,1.02,42.24,130.81,2387.81,8079.84,9.4069,0.02,330,2212,100.0,10.6,6.3019,0.2720588235294117,99
38,25.0022,0.6202,60.0,462.54,536.33,1263.55,1044.2,7.05,9.03,175.56,1915.21,8001.66,0.94,36.95,165.35,2028.16,7867.22,10.9348,0.02,308,1915,84.93,14.16,8.5747,0.2794117647058823,98
39,42.0019,0.84,100.0,445.0,550.04,1357.96,1125.79,3.91,5.71,137.85,2211.86,8318.05,1.02,42.04,130.25,2387.84,8078.69,9.3882,0.02,331,2212,100.0,10.71,6.4436,0.2867647058823529,97
40,41.9987,0.8408,100.0,445.0,549.85,1348.1,1128.1,3.91,5.71,138.08,2211.8,8311.14,1.02,42.08,130.35,2387.87,8082.42,9.3678,0.02,330,2212,100.0,10.54,6.3426,0.2941176470588235,96
41,0.0029,0.0,100.0,518.67,642.45,1588.78,1410.26,14.62,21.61,552.98,2388.07,9050.93,1.3,47.29,521.36,2388.07,8131.51,8.4458,0.03,393,2388,100.0,38.87,23.2841,0.3014705882352941,95
42,35.0077,0.84,100.0,449.44,555.64,1364.06,1132.15,5.48,8.0,194.92,2222.89,8349.4,1.02,41.93,183.34,2387.96,8064.15,9.3006,0.02,333,2223,100.0,14.78,8.9267,0.3088235294117647,94
43,10.0044,0.2506,100.0,489.05,604.39,1501.48,1313.61,10.52,15.49,395.08,2318.92,8780.76,1.26,45.29,371.99,2388.13,8129.46,8.6722,0.03,369,2319,100.0,28.62,17.053,0.3161764705882353,93
44,24.9996,0.62,60.0,462.54,536.76,1259.43,1048.89,7.05,9.02,175.45,1915.26,8010.87,0.94,36.9,164.62,2028.12,7870.22,10.894,0.02,307,1915,84.93,14.35,8.5325,0.3235294117647059,92
45,19.9999,0.7,100.0,491.19,607.49,1480.32,1254.58,9.35,13.66,334.26,2323.96,8717.82,1.08,44.5,314.74,2388.07,8060.82,9.2143,0.02,364,2324,100.0,24.46,14.5926,0.3308823529411764,91
46,42.0037,0.84,100.0,445.0,550.32,1349.57,1122.68,3.91,5.71,138.71,2211.83,8318.91,1.02,42.14,130.19,2387.93,8079.74,9.4118,0.02,331,2212,100.0,10.57,6.3081,0.3382352941176471,90
47,0.0002,0.0,100.0,518.67,642.33,1589.2,1406.06,14.62,21.61,553.97,2388.1,9050.33,1.3,47.37,521.37,2388.07,8130.34,8.4709,0.03,391,2388,100.0,38.69,23.3155,0.3455882352941176,89
48,0.003,0.0,100.0,518.67,642.67,1597.62,1407.67,14.62,21.61,553.62,2388.1,9056.18,1.3,47.54,521.31,2388.06,8128.63,8.4439,0.03,393,2388,100.0,38.89,23.2861,0.3529411764705882,88
49,24.9987,0.6202,60.0,462.54,536.17,1262.45,1047.46,7.05,9.03,175.41,1915.23,8005.66,0.94,36.71,164.66,2028.16,7870.07,10.8717,0.02,308,1915,84.93,14.35,8.5917,0.3602941176470588,87
50,42.0066,0.8406,100.0,445.0,549.21,1352.48,1128.4,3.91,5.71,138.89,2211.82,8314.1,1.02,42.0,130.73,2387.91,8079.7,9.3679,0.02,331,2212,100.0,10.68,6.4111,0.3676470588235294,86
51,42.0075,0.8404,100.0,445.0,549.58,1350.49,1117.49,3.91,5.71,138.91,2211.79,8312.95,1.02,42.16,130.5,2387.85,8078.24,9.3774,0.02,331,2212,100.0,10.4,6.3187,0.375,85
52,35.0002,0.84,100.0,449.44,555.6,1371.15,1126.59,5.48,8.0,194.68,2222.93,8352.32,1.02,41.95,183.34,2387.94,8064.28,9.3542,0.02,335,2223,100.0,14.93,8.8649,0.3823529411764705,84
53,20.0068,0.7,100.0,491.19,607.36,1485.33,1242.4,9.35,13.65,334.55,2323.92,8721.75,1.08,44.4,314.9,2388.07,8051.76,9.2307,0.02,364,2324,100.0,24.38,14.7314,0.3897058823529412,83
54,25.0074,0.621,60.0,462.54,537.38,1263.74,1047.13,7.05,9.03,176.12,1915.27,8003.77,0.94,36.76,164.42,2028.18,7872.15,10.9162,0.02,308,1915,84.93,14.26,8.6406,0.3970588235294117,82
55,20.0068,0.7005,100.0,491.19,606.77,1484.67,1253.24,9.35,13.66,334.76,2323.96,8719.03,1.08,44.32,314.49,2388.09,8062.1,9.2214,0.02,365,2324,100.0,24.32,14.6473,0.4044117647058823,81
56,24.9991,0.62,60.0,462.54,536.61,1260.0,1045.66,7.05,9.03,175.46,1915.18,8000.93,0.94,36.78,164.86,2028.14,7868.38,10.8911,0.02,310,1915,84.93,14.21,8.5681,0.4117647058823529,80
57,0.0007,0.001,100.0,518.67,642.67,1590.51,1404.88,14.62,21.61,553.32,2388.11,9048.92,1.3,47.5,521.26,2388.07,8131.9,8.4201,0.03,393,2388,100.0,38.89,23.2345,0.4191176470588235,79
58,25.0008,0.62,60.0,462.54,537.21,1260.38,1052.48,7.05,9.02,175.89,1915.24,8008.48,0.94,36.83,164.44,2028.17,7868.62,10.8944,0.02,308,1915,84.93,14.23,8.5375,0.4264705882352941,78
59,19.9987,0.7019,100.0,491.19,607.1,1487.06,1249.9,9.35,13.66,334.23,2323.9,8725.26,1.08,44.52,314.54,2388.14,8055.31,9.2355,0.02,366,2324,100.0,24.52,14.6492,0.4338235294117647,77
60,10.0071,0.25,100.0,489.05,605.03,1496.15,1316.23,10.52,15.49,394.7,2318.99,8771.01,1.26,45.29,371.75,2388.17,8123.07,8.7146,0.03,369,2319,100.0,28.48,17.1169,0.4411764705882353,76
61,42.0053,0.84,100.0,445.0,549.28,1348.33,1128.17,3.91,5.72,138.65,2211.77,8317.2,1.02,42.23,130.63,2387.87,8079.91,9.3754,0.02,331,2212,100.0,10.66,6.42,0.4485294117647059,75
62,42.0044,0.84,100.0,445.0,549.32,1353.08,1130.46,3.91,5.72,138.75,2211.8,8321.31,1.02,42.15,130.23,2387.89,8078.54,9.3869,0.02,331,2212,100.0,10.62,6.3785,0.4558823529411764,74
63,42.0079,0.84,100.0,445.0,549.22,1355.05,1127.11,3.91,5.72,138.9,2211.72,8316.1,1.02,42.12,130.41,2387.87,8083.67,9.4103,0.02,331,2212,100.0,10.55,6.464,0.4632352941176471,73
64,10.0049,0.251,100.0,489.05,604.8,1502.67,1310.78,10.52,15.49,394.13,2318.96,8780.05,1.26,45.43,371.55,2388.16,8123.71,8.6341,0.03,369,2319,100.0,28.66,17.0679,0.4705882352941176,72
65,20.0034,0.7,100.0,491.19,607.22,1488.33,1240.71,9.35,13.66,334.06,2323.99,8718.58,1.08,44.47,315.31,2388.1,8057.04,9.2152,0.02,366,2324,100.0,24.46,14.6743,0.4779411764705882,71
66,42.0013,0.84,100.0,445.0,549.84,1356.44,1128.92,3.91,5.71,139.11,2211.75,8311.62,1.02,42.09,130.95,2387.86,8080.06,9.3779,0.02,331,2212,100.0,10.3,6.3816,0.4852941176470588,70
67,41.9989,0.8404,100.0,445.0,549.82,1354.19,1123.71,3.91,5.71,138.88,2211.79,8315.23,1.02,42.09,130.57,2387.86,8077.44,9.3679,0.02,331,2212,100.0,10.38,6.3688,0.4926470588235294,69
68,20.0076,0.7,100.0,491.19,607.95,1484.92,1250.42,9.35,13.66,334.5,2324.02,8718.89,1.08,44.55,315.23,2388.12,8054.61,9.2359,0.02,365,2324,100.0,24.54,14.621,0.5,68
69,0.001,0.0003,100.0,518.67,643.06,1589.62,1411.66,14.62,21.61,552.68,2388.15,9050.76,1.3,47.61,521.34,2388.11,8137.64,8.4495,0.03,394,2388,100.0,38.69,23.3605,0.5073529411764706,67
70,10.0045,0.25,100.0,489.05,604.66,1500.06,1309.02,10.52,15.49,394.4,2318.94,8773.83,1.26,45.38,371.82,2388.14,8125.69,8.6784,0.03,370,2319,100.0,28.59,16.9515,0.5147058823529411,66
71,20.0058,0.7001,100.0,491.19,607.44,1485.43,1251.45,9.35,13.66,334.54,2324.0,8722.95,1.08,44.47,314.77,2388.11,8061.01,9.233,0.02,366,2324,100.0,24.42,14.6763,0.5220588235294118,65
72,20.0075,0.7,100.0,491.19,606.88,1487.22,1261.06,9.35,13.66,335.06,2323.96,8714.45,1.08,44.62,315.05,2388.11,8054.99,9.2285,0.02,366,2324,100.0,24.36,14.7229,0.5294117647058824,64
73,25.0075,0.6207,60.0,462.54,537.1,1257.84,1047.27,7.05,9.03,175.79,1915.25,8009.9,0.94,36.82,164.51,2028.14,7870.15,10.9335,0.02,307,1915,84.93,14.15,8.5879,0.5367647058823529,63
74,10.0056,0.25,100.0,489.05,605.23,1502.78,1314.16,10.52,15.5,394.46,2319.02,8771.47,1.26,45.54,371.3,2388.17,8122.7,8.6538,0.03,370,2319,100.0,28.37,17.0475,0.5441176470588235,62
75,19.9987,0.7,100.0,491.19,607.77,1488.52,1250.91,9.35,13.66,334.86,2323.97,8726.0,1.08,44.65,314.83,2388.15,8057.82,9.26,0.02,364,2324,100.0,24.47,14.6102,0.5514705882352942,61
76,0.0022,0.0,100.0,518.67,642.97,1588.21,1408.44,14.62,21.61,553.3,2388.17,9048.05,1.3,47.6,521.38,2388.12,8137.55,8.4645,0.03,392,2388,100.0,38.52,23.1653,0.5588235294117647,60
77,9.9994,0.2513,100.0,489.05,604.28,1496.25,1317.81,10.52,15.5,394.17,2318.92,8778.63,1.26,45.54,371.53,2388.19,8123.11,8.704,0.03,370,2319,100.0,28.54,17.1273,0.5661764705882353,59
78,20.001,0.7,100.0,491.19,607.46,1484.75,1255.32,9.35,13.66,333.97,2324.04,8716.8,1.08,44.48,314.75,2388.11,8056.17,9.2515,0.02,366,2324,100.0,24.55,14.6167,0.5735294117647058,58
79,25.0078,0.62,60.0,462.54,536.83,1265.9,1045.09,7.05,9.03,175.8,1915.3,8002.01,0.94,36.96,164.37,2028.12,7866.16,10.9551,0.02,307,1915,84.93,14.23,8.5421,0.5808823529411765,57
80,35.0011,0.8414,100.0,449.44,556.14,1365.3,1126.02,5.48,8.0,194.92,2222.88,8348.67,1.02,42.0,183.05,2387.94,8062.38,9.3388,0.02,334,2223,100.0,14.87,8.8987,0.5882352941176471,56
81,42.0001,0.84,100.0,445.0,549.74,1359.39,1133.62,3.91,5.71,138.91,2211.83,8323.33,1.02,42.27,130.21,2387.86,8078.15,9.4165,0.02,331,2212,100.0,10.6,6.3752,0.5955882352941176,55
82,25.006,0.6205,60.0,462.54,537.3,1272.79,1045.64,7.05,9.03,175.84,1915.26,8006.71,0.94,36.85,165.0,2028.14,7870.37,10.9679,0.02,307,1915,84.93,14.44,8.5572,0.6029411764705882,54
83,25.0037,0.62,60.0,462.54,536.17,1264.65,1049.14,7.05,9.02,175.48,1915.28,8009.24,0.94,36.88,164.4,2028.17,7875.84,10.9109,0.02,306,1915,84.93,14.28,8.6148,0.6102941176470589,53
84,25.0027,0.62,60.0,462.54,536.93,1267.73,1045.82,7.05,9.03,175.2,1915.26,8008.71,0.94,36.7,164.28,2028.13,7871.34,10.9211,0.02,308,1915,84.93,14.38,8.6061,0.6176470588235294,52
85,0.0014,0.0001,100.0,518.67,642.41,1593.46,1412.48,14.62,21.61,553.35,2388.19,9049.37,1.3,47.65,521.34,2388.12,8137.45,8.4564,0.03,391,2388,100.0,38.81,23.2519,0.625,51
86,0.0022,0.0,100.0,518.67,642.95,1589.67,1412.4,14.62,21.61,553.53,2388.18,9043.94,1.3,47.54,521.36,2388.16,8129.27,8.4389,0.03,394,2388,100.0,38.65,23.3521,0.6323529411764706,50
87,35.0017,0.8411,100.0,449.44,555.32,1366.94,1140.9,5.48,8.0,194.51,2222.85,8347.91,1.02,41.92,182.73,2387.98,8061.16,9.3314,0.02,334,2223,100.0,14.8,8.8478,0.6397058823529411,49
88,20.0061,0.7018,100.0,491.19,607.85,1482.36,1253.03,9.35,13.66,334.37,2323.99,8716.92,1.07,44.53,314.67,2388.18,8057.05,9.2293,0.02,366,2324,100.0,24.18,14.7385,0.6470588235294118,48
89,25.0055,0.62,60.0,462.54,537.18,1266.79,1050.29,7.05,9.03,175.13,1915.26,8003.42,0.94,37.06,164.76,2028.11,7866.75,10.9267,0.02,306,1915,84.93,14.31,8.5721,0.6544117647058824,47
90,25.0063,0.6202,60.0,462.54,536.36,1269.13,1056.22,7.05,9.02,175.58,1915.22,8001.32,0.94,36.86,163.88,2028.15,7867.39,10.9203,0.02,307,1915,84.93,14.2,8.5701,0.6617647058823529,46
91,10.006,0.25,100.0,489.05,604.52,1497.93,1308.72,10.52,15.49,393.45,2319.04,8778.73,1.26,45.38,371.16,2388.24,8120.03,8.6229,0.03,370,2319,100.0,28.5,17.1192,0.6691176470588235,45
92,10.0052,0.2505,100.0,489.05,604.73,1507.18,1315.69,10.52,15.49,394.0,2319.04,8782.71,1.26,45.74,371.5,2388.26,8121.93,8.6762,0.03,370,2319,100.0,28.49,17.0666,0.6764705882352942,44
93,20.0051,0.7,100.0,491.19,607.74,1487.31,1255.69,9.35,13.66,333.44,2323.94,8716.81,1.08,44.66,314.78,2388.15,8051.79,9.2368,0.02,367,2324,100.0,24.39,14.6347,0.6838235294117647,43
94,20.0023,0.7001,100.0,491.19,607.92,1485.58,1256.83,9.35,13.65,335.34,2324.01,8720.19,1.08,44.4,315.03,2388.1,8055.03,9.2095,0.02,365,2324,100.0,24.46,14.5784,0.6911764705882353,42
95,42.003,0.84,100.0,445.0,549.83,1358.22,1136.66,3.91,5.71,138.16,2211.73,8319.35,1.02,42.16,129.8,2387.8,8081.44,9.3988,0.02,332,2212,100.0,10.63,6.2569,0.6985294117647058,41
96,42.0063,0.8415,100.0,445.0,549.42,1356.09,1133.73,3.91,5.71,138.43,2211.67,8324.43,1.02,42.33,130.72,2387.78,8082.39,9.387,0.02,332,2212,100.0,10.54,6.326,0.7058823529411765,40
97,0.002,0.0,100.0,518.67,643.19,1591.93,1411.59,14.62,21.61,552.79,2388.21,9053.58,1.3,47.69,521.47,2388.17,8130.41,8.4491,0.03,392,2388,100.0,38.76,23.1896,0.7132352941176471,39
98,0.001,0.0012,100.0,518.67,642.85,1587.94,1409.83,14.62,21.61,552.38,2388.22,9055.94,1.3,47.48,520.61,2388.14,8135.73,8.4979,0.03,394,2388,100.0,38.88,23.3528,0.7205882352941176,38
99,25.0016,0.62,60.0,462.54,537.03,1258.68,1058.35,7.05,9.03,174.97,1915.31,8011.09,0.94,36.76,164.53,2028.12,7868.36,10.9229,0.02,308,1915,84.93,14.18,8.6143,0.7279411764705882,37
100,42.0003,0.842,100.0,445.0,549.49,1356.9,1129.19,3.91,5.71,138.74,2211.71,8312.86,1.02,42.41,130.06,2387.82,8077.16,9.406,0.02,331,2212,100.0,10.45,6.2462,0.7352941176470589,36
101,35.0062,0.84,100.0,449.44,555.85,1373.71,1137.44,5.48,8.0,194.13,2222.87,8342.75,1.02,42.07,182.73,2387.91,8062.91,9.3519,0.02,334,2223,100.0,14.91,8.7394,0.7426470588235294,35
102,42.0042,0.84,100.0,445.0,550.14,1359.52,1135.5,3.91,5.72,138.8,2211.75,8321.15,1.02,42.4,129.85,2387.82,8076.93,9.4186,0.02,331,2212,100.0,10.62,6.3897,0.75,34
103,24.9984,0.62,60.0,462.54,537.53,1268.26,1053.05,7.05,9.03,175.36,1915.25,8011.56,0.94,36.9,164.63,2028.17,7872.92,10.9229,0.02,309,1915,84.93,14.34,8.5416,0.7573529411764706,33
104,25.0023,0.621,60.0,462.54,537.11,1266.2,1057.65,7.05,9.03,175.77,1915.25,8007.29,0.94,36.88,164.39,2028.17,7872.13,10.9278,0.02,311,1915,84.93,14.22,8.5306,0.7647058823529411,32
105,0.0006,0.0002,100.0,518.67,642.61,1598.74,1416.87,14.62,21.61,552.94,2388.16,9054.67,1.3,47.86,520.52,2388.19,8132.93,8.4702,0.03,394,2388,100.0,38.81,23.1667,0.7720588235294118,31
106,9.9988,0.25,100.0,489.05,605.25,1502.53,1319.21,10.52,15.5,393.45,2319.1,8769.84,1.26,45.55,370.55,2388.32,8124.14,8.6958,0.03,371,2319,100.0,28.39,17.0824,0.7794117647058824,30
107,42.0059,0.8419,100.0,445.0,550.31,1362.28,1133.31,3.91,5.72,138.03,2211.74,8317.38,1.02,42.31,130.16,2387.72,8081.39,9.394,0.02,331,2212,100.0,10.77,6.4404,0.7867647058823529,29
108,24.9981,0.62,60.0,462.54,537.44,1276.3,1055.48,7.05,9.03,174.81,1915.27,8017.28,0.94,37.1,165.06,2028.08,7873.74,10.9869,0.02,309,1915,84.93,14.16,8.4462,0.7941176470588235,28
109,9.9982,0.25,100.0,489.05,605.79,1506.62,1322.05,10.52,15.5,393.84,2319.05,8773.34,1.26,45.76,370.49,2388.29,8129.5,8.7164,0.03,371,2319,100.0,28.37,17.0478,0.8014705882352942,27
110,25.0027,0.6219,60.0,462.54,537.17,1267.85,1060.98,7.05,9.03,175.28,1915.22,8007.19,0.94,37.01,164.68,2028.09,7869.74,10.9594,0.02,308,1915,84.93,14.12,8.6034,0.8088235294117647,26
111,20.0033,0.7,100.0,491.19,608.51,1491.2,1258.99,9.35,13.66,333.38,2324.0,8719.78,1.07,44.56,314.61,2388.18,8054.28,9.2544,0.03,366,2324,100.0,24.34,14.605,0.8161764705882353,25
112,35.0068,0.84,100.0,449.44,556.22,1372.45,1139.04,5.48,8.0,194.55,2222.83,8348.0,1.02,42.17,182.32,2387.93,8062.09,9.3849,0.02,333,2223,100.0,14.78,8.9084,0.8235294117647058,24
113,42.0031,0.84,100.0,445.0,550.12,1357.74,1135.39,3.91,5.72,138.62,2211.72,8307.55,1.02,42.38,129.94,2387.78,8078.95,9.426,0.02,333,2212,100.0,10.7,6.3821,0.8308823529411765,23
114,0.0007,0.0,100.0,518.67,643.32,1595.2,1413.39,14.62,21.61,553.03,2388.2,9053.1,1.3,47.97,520.51,2388.14,8132.91,8.4829,0.03,393,2388,100.0,38.56,23.1297,0.8382352941176471,22
115,35.0051,0.8404,100.0,449.44,555.72,1370.05,1140.98,5.48,8.0,194.18,2222.86,8350.01,1.02,42.23,182.94,2387.96,8058.43,9.3666,0.02,335,2223,100.0,14.88,8.8705,0.8455882352941176,21
116,35.0016,0.84,100.0,449.44,556.35,1366.13,1141.46,5.48,8.0,193.89,2222.84,8343.46,1.02,42.12,182.42,2387.89,8056.16,9.3804,0.02,335,2223,100.0,14.82,8.8148,0.8529411764705882,20
117,20.0063,0.7,100.0,491.19,608.11,1492.96,1263.35,9.35,13.66,333.47,2324.02,8720.71,1.08,44.78,313.97,2388.1,8054.24,9.2876,0.03,367,2324,100.0,24.31,14.6034,0.8602941176470589,19
118,42.0001,0.84,100.0,445.0,550.13,1359.36,1131.82,3.91,5.72,138.42,2211.65,8312.36,1.02,42.45,130.25,2387.71,8077.53,9.4156,0.02,333,2212,100.0,10.5,6.3252,0.8676470588235294,18
119,35.0029,0.8418,100.0,449.44,556.0,1373.15,1141.19,5.48,8.0,194.32,2222.82,8348.05,1.02,42.17,182.75,2387.94,8062.0,9.3662,0.02,337,2223,100.0,14.68,8.8952,0.875,17
120,42.0053,0.84,100.0,445.0,550.31,1358.88,1140.45,3.91,5.71,137.89,2211.65,8316.46,1.02,42.47,130.33,2387.7,8082.42,9.4348,0.02,331,2212,100.0,10.37,6.3338,0.8823529411764706,16
121,42.0035,0.8407,100.0,445.0,550.23,1360.69,1137.16,3.91,5.72,137.82,2211.66,8317.27,1.02,42.42,130.44,2387.74,8072.48,9.4177,0.02,334,2212,100.0,10.34,6.2439,0.8897058823529411,15
122,0.0015,0.0015,100.0,518.67,643.01,1597.02,1420.69,14.62,21.61,552.51,2388.27,9048.48,1.3,47.85,520.36,2388.23,8123.0,8.4692,0.03,394,2388,100.0,38.47,23.071,0.8970588235294118,14
123,24.9992,0.6202,60.0,462.54,537.4,1262.26,1059.95,7.05,9.02,175.3,1915.21,8009.08,0.94,37.23,164.32,2028.08,7873.02,11.0066,0.02,309,1915,84.93,14.18,8.4633,0.9044117647058824,13
124,25.0037,0.62,60.0,462.54,536.98,1267.5,1065.46,7.05,9.03,174.99,1915.15,8007.82,0.94,36.94,164.62,2028.07,7873.69,10.9972,0.02,309,1915,84.93,14.1,8.5592,0.9117647058823528,12
125,0.0014,0.0,100.0,518.67,643.12,1597.78,1423.21,14.62,21.61,551.1,2388.27,9048.1,1.3,47.86,520.08,2388.27,8127.88,8.4897,0.03,397,2388,100.0,38.62,23.256,0.9191176470588236,11
126,0.0015,0.0007,100.0,518.67,643.4,1599.52,1428.06,14.62,21.61,552.43,2388.24,9047.87,1.3,47.74,520.5,2388.18,8123.53,8.4979,0.03,394,2388,100.0,38.46,23.0925,0.9264705882352942,10
127,10.0078,0.2505,100.0,489.05,605.81,1510.09,1327.7,10.52,15.5,393.61,2319.11,8778.01,1.26,45.96,370.56,2388.36,8121.3,8.7014,0.03,371,2319,100.0,28.25,17.0479,0.9338235294117648,9
128,10.0037,0.25,100.0,489.05,605.74,1508.79,1330.39,10.52,15.5,393.48,2319.15,8774.06,1.26,45.99,370.42,2388.32,8115.45,8.7209,0.03,372,2319,100.0,28.3,17.0964,0.9411764705882352,8
129,42.0044,0.84,100.0,445.0,550.01,1363.04,1134.23,3.91,5.72,138.01,2211.58,8322.81,1.02,42.6,130.03,2387.64,8072.58,9.437,0.02,333,2212,100.0,10.45,6.334,0.9485294117647058,7
130,19.9981,0.7004,100.0,491.19,608.05,1494.28,1277.48,9.35,13.66,333.8,2324.1,8714.82,1.07,44.96,314.51,2388.21,8052.91,9.3199,0.03,367,2324,100.0,24.32,14.5121,0.9558823529411764,6
131,35.003,0.8407,100.0,449.44,556.26,1366.89,1150.94,5.48,8.0,193.66,2222.81,8341.84,1.02,42.56,182.31,2387.86,8053.1,9.4089,0.02,338,2223,100.0,14.63,8.8643,0.9632352941176472,5
132,25.0064,0.6211,60.0,462.54,537.27,1273.9,1060.46,7.05,9.03,174.4,1915.19,8004.2,0.94,37.42,163.89,2028.05,7868.1,10.9826,0.02,309,1915,84.93,14.25,8.5131,0.9705882352941176,4
133,42.0031,0.8418,100.0,445.0,550.09,1363.97,1138.69,3.91,5.72,137.75,2211.54,8319.0,1.02,42.66,130.16,2387.64,8071.52,9.4441,0.02,333,2212,100.0,10.48,6.282,0.9779411764705882,3
134,20.0064,0.7,100.0,491.19,608.65,1493.14,1269.49,9.35,13.66,333.0,2324.04,8721.06,1.07,45.02,313.33,2388.21,8055.23,9.3089,0.03,368,2324,100.0,24.17,14.4846,0.9852941176470588,2
135,20.0058,0.7,100.0,491.19,608.54,1497.25,1269.64,9.35,13.66,332.89,2324.09,8715.53,1.07,44.96,313.67,2388.31,8048.83,9.3144,0.03,368,2324,100.0,24.3,14.5571,0.9926470588235294,1
136,42.0053,0.84,100.0,445.0,550.67,1369.69,1142.21,3.91,5.72,136.99,2211.49,8315.39,1.02,42.72,129.83,2387.51,8076.25,9.496,0.02,333,2212,100.0,10.49,6.2981,1.0,0
1,35.0041,0.84,100.0,449.44,555.21,1363.23,1121.86,5.48,8.0,195.12,2222.95,8353.53,1.02,41.99,182.81,2388.0,8062.48,9.2721,0.02,334,2223,100.0,14.97,9.0164,0.0040983606557377,243
2,0.0006,0.001,100.0,518.67,641.99,1580.71,1391.86,14.62,21.61,554.28,2388.05,9048.38,1.3,47.19,522.18,2388.03,8137.76,8.4096,0.03,392,2388,100.0,38.81,23.5154,0.0081967213114754,242
3,0.0027,0.0019,100.0,518.67,641.66,1584.97,1391.13,14.62,21.61,554.49,2388.03,9049.95,1.3,47.29,522.46,2388.02,8135.48,8.4166,0.03,391,2388,100.0,39.02,23.4354,0.0122950819672131,241
4,42.007,0.84,100.0,445.0,549.88,1354.18,1119.57,3.91,5.71,138.14,2211.89,8318.65,1.02,41.7,130.7,2387.97,8081.93,9.3196,0.02,330,2212,100.0,10.67,6.4004,0.0163934426229508,240
5,20.0074,0.7008,100.0,491.19,607.0,1485.43,1239.8,9.35,13.65,335.29,2323.9,8721.36,1.08,44.17,315.2,2388.03,8063.8,9.1772,0.02,364,2324,100.0,24.64,14.8653,0.0204918032786885,239
6,20.0024,0.701,100.0,491.19,607.24,1481.88,1244.55,9.35,13.66,335.73,2323.87,8721.05,1.08,44.26,315.72,2388.01,8060.76,9.2206,0.02,364,2324,100.0,24.47,14.7941,0.0245901639344262,238
7,10.0014,0.252,100.0,489.05,604.42,1497.55,1301.35,10.52,15.49,394.93,2318.83,8774.8,1.26,45.27,371.89,2388.06,8126.93,8.5984,0.03,367,2319,100.0,28.8,17.0699,0.0286885245901639,237
8,35.0071,0.84,100.0,449.44,555.39,1355.51,1117.72,5.48,8.0,195.02,2222.89,8347.47,1.02,41.7,182.89,2388.02,8065.06,9.3031,0.02,333,2223,100.0,14.87,8.9111,0.0327868852459016,236
9,42.0021,0.84,100.0,445.0,549.69,1340.37,1118.98,3.91,5.71,138.49,2211.84,8315.51,1.02,42.01,130.38,2388.0,8083.22,9.3528,0.02,330,2212,100.0,10.74,6.3401,0.0368852459016393,235
